transaction_id,customer_id,customer_name,source_amount,source_currency,destination_amount,destination_currency,payment_mode,payment_gateway,status,expected_tat,transaction_timestamp
a00d06a0-757d-4b26-879b-81b371208f11,cust007,Customer 007,42.21,INR,40.38,EUR,UPI,Square,SENT_TO_GATEWAY,3 days,2025-07-09T17:11:23.335585
eed50cc9-d5e2-47ff-9fbf-9b8009424f2c,cust073,Customer 073,530.79,EUR,542.54,USD,UPI,Square,CREATED,1 days,2025-06-28T08:59:45.335585
889855a2-d7ee-40ff-986c-1246c2388b38,cust067,Customer 067,92.78,USD,93.19,SGD,UPI,Razorpay,FAILED,4 days,2025-06-28T14:32:17.335585
c314fe4a-7ae5-4a7d-8f47-51fdfabe6d59,cust099,Customer 099,975.63,GBP,998.72,USD,UPI,Adyen,CREATED,4 days,2025-06-29T21:05:37.335585
a08e602b-2621-45c3-b307-4a3e5b8abb21,cust085,Customer 085,972.72,INR,982.98,USD,CARD,Razorpay,COMPLIANCE_CHECKED,5 days,2025-07-03T18:51:13.335585
0cc44bbc-595a-40f8-bf0d-eed95eb947df,cust078,Customer 078,70.07,GBP,67.53,USD,CARD,Razorpay,FAILED,2 days,2025-07-14T05:39:07.335585
b164350b-6814-4884-b370-9fa0d79d4bbf,cust072,Customer 072,723.88,INR,734.34,SGD,PAYPAL,Razorpay,FAILED,4 days,2025-07-02T20:00:45.335585
58c8ed81-ee24-4f7b-8c4c-69755504ed05,cust080,Customer 080,396.15,SGD,402.0,EUR,UPI,Razorpay,PAID,1 days,2025-07-14T12:57:32.335585
77bca730-b6bc-4c15-9ac1-fe3e0befafd5,cust042,Customer 042,267.08,GBP,267.96,USD,CARD,Adyen,VALIDATED,4 days,2025-07-04T04:16:35.335585
2b6dfc1c-decc-4005-8855-f5568b449363,cust044,Customer 044,179.09,SGD,172.41,INR,UPI,Square,CREATED,2 days,2025-07-02T09:55:11.335585
7fe10fc1-02d7-4cdd-b02d-64a9ee233455,cust085,Customer 085,361.09,USD,358.58,INR,PAYPAL,Razorpay,PAID,1 days,2025-07-04T13:10:48.335585
f6c1e3b7-ed6f-4720-9559-cb8c6a67edd0,cust069,Customer 069,370.23,USD,361.04,INR,CARD,PayPal,CANCELLED,4 days,2025-07-04T08:06:35.335585
237ab02f-b5af-4f18-b88b-71bdaf16a1e8,cust055,Customer 055,740.74,INR,710.31,GBP,BANK_TRANSFER,Razorpay,CREATED,2 days,2025-07-02T10:23:33.335585
01d76cff-fa7f-4791-b282-1bd6f6203575,cust058,Customer 058,160.26,SGD,164.01,EUR,UPI,Razorpay,PAID,4 days,2025-07-11T15:54:11.335585
ef147781-2c30-4e3f-8a8f-e5f3668d0e23,cust033,Customer 033,732.45,EUR,768.0,SGD,PAYPAL,Adyen,FAILED,3 days,2025-06-25T00:02:16.335585
dc760486-3ea9-460b-94c5-66ba45c91473,cust010,Customer 010,54.39,GBP,54.82,INR,PAYPAL,Razorpay,VALIDATED,4 days,2025-07-05T02:35:14.335585
48cf9e90-59c0-4867-8fff-c6c21501c337,cust067,Customer 067,492.81,SGD,494.46,INR,UPI,Square,COMPLIANCE_CHECKED,5 days,2025-07-19T03:38:39.335585
1028604a-2d65-4761-8f59-efbe28bfd57c,cust017,Customer 017,707.31,GBP,693.36,INR,PAYPAL,Adyen,PAID,5 days,2025-07-01T01:13:05.335585
5b6a54fa-855a-4924-9fd4-38d4c62274e0,cust079,Customer 079,594.83,GBP,601.69,USD,CARD,Square,VALIDATED,2 days,2025-07-06T04:18:48.335585
afe0ac31-07eb-4f87-a389-4b69e1268ed6,cust012,Customer 012,816.21,EUR,787.32,GBP,CARD,Stripe,FAILED,4 days,2025-07-15T19:48:45.335585
74ebf23b-d76d-48a7-8336-9ff120898072,cust040,Customer 040,339.78,GBP,350.99,SGD,UPI,Razorpay,VALIDATED,3 days,2025-07-17T08:57:56.335585
63dedde2-48d1-4b20-86db-ccbc11b00edb,cust036,Customer 036,195.32,EUR,185.87,INR,UPI,Razorpay,CANCELLED,4 days,2025-06-27T16:47:27.335585
94f57441-53c1-4ac5-8e28-c3e70c50ecf1,cust090,Customer 090,762.43,INR,789.98,GBP,PAYPAL,Razorpay,PAID,5 days,2025-07-11T23:03:54.335585
6c3fbc1a-d920-41bd-967a-1e566ae4e559,cust071,Customer 071,220.6,GBP,217.63,INR,BANK_TRANSFER,Adyen,CREATED,3 days,2025-06-24T20:43:15.335585
57906ad3-dd66-48b9-9cfc-8d8fdf43709d,cust081,Customer 081,196.61,SGD,193.74,INR,CARD,Stripe,PAID,5 days,2025-06-21T00:02:31.335585
8cbb7035-a3ad-45b3-a534-743f10136099,cust006,Customer 006,353.11,INR,362.32,SGD,UPI,Square,COMPLIANCE_CHECKED,1 days,2025-07-15T07:09:46.335585
3256e134-68d7-4c13-9fd7-1e69f0d68ffd,cust081,Customer 081,537.92,EUR,541.54,GBP,UPI,Square,FAILED,4 days,2025-07-15T09:59:20.335585
00181d3e-4168-4342-a61f-9596a8f3d67e,cust066,Customer 066,721.13,GBP,748.1,USD,UPI,PayPal,COMPLIANCE_CHECKED,1 days,2025-06-28T17:36:54.335585
