ticketId,ticketTimestamp,status,description,customerName,lastUpdatedAt
0cd1e0bd-8057-4e95-b1c4-d8ec304e7981,2025-07-16T08:41:06.110965,RESOLVED,i want to chnge my email address.,Customer 010,2025-07-19T08:41:06.110965
f470a3ba-7480-4390-bb3c-8544f16c5d8f,2025-07-16T18:20:05.110965,WAITING_FOR_CUSTOMER,I want to know if my payment is done.,Customer 012,2025-07-18T01:20:05.110965
a6f49e35-c4dd-469c-bbc9-08279a115e91,2025-07-05T05:35:46.110965,CLOSED,I want to chnge my email address.,Customer 058,2025-07-05T08:35:46.110965
937f7ecd-262f-44d7-a883-2655be75e99a,2025-07-14T08:56:59.110965,RESOLVED,When will I get my money?,Customer 095,2025-07-15T21:56:59.110965
8d210007-9c68-494e-ab5e-161c2ea3a348,2025-06-22T20:55:09.110965,WAITING_FOR_PAYMENT,mein geld ist nicht angekommen.,Customer 002,2025-06-23T00:55:09.110965
35535d96-7f3b-41b0-872b-a73dd15a8cc6,2025-07-06T13:44:57.110965,IN_PROGRESS,Pls update me on my payment status.,Customer 024,2025-07-08T12:44:57.110965
887926c0-be42-4827-8462-2609638ae345,2025-07-06T23:00:03.110965,RESOLVED,HOW LONG FOR THE TRANSFER TO FINISH?,Customer 051,2025-07-07T04:00:03.110965
1c33d1da-f7bd-4fd6-87f7-bf8916ff9f92,2025-07-09T10:46:50.110965,OPEN,"my name is spelled wrong, can you fix?",Customer 081,2025-07-11T05:46:50.110965
25402bf5-1411-429c-b3d2-f57fca39d97b,2025-07-06T01:07:57.110965,WAITING_FOR_CUSTOMER,What is the sttus of my payment?,Customer 073,2025-07-07T04:07:57.110965
88b5776d-efa1-4993-8966-6abb78061d6d,2025-06-26T10:41:25.110965,OPEN,Wen will my trnsfr be done?,Customer 091,2025-06-29T03:41:25.110965
8472f30a-a6e2-43d7-b78c-f9a33e4f2c25,2025-07-10T21:55:34.110965,WAITING_FOR_CUSTOMER,i want to chnge my email address.,Customer 074,2025-07-12T16:55:34.110965
5d101fec-f525-44a3-b143-b48d4b9c2995,2025-07-07T12:40:28.110965,RESOLVED,Wen will my trnsfr be done?,Customer 001,2025-07-09T12:40:28.110965
e42099c1-d6bd-4221-b754-e6f5b07ba2a8,2025-07-16T15:41:49.110965,OPEN,pourquoi mon paiement est-il en attente?,Customer 035,2025-07-19T06:41:49.110965
20a65bfe-ce2c-4821-9536-d43c8c3efc2c,2025-07-14T22:48:25.110965,RESOLVED,I want to know if my payment is done. ...?,Customer 003,2025-07-16T22:48:25.110965
bb0dc032-e0f6-4a3f-90e9-386f2681b48e,2025-07-18T13:26:00.110965,REJECTED,i have a question about your service. ...?,Customer 035,2025-07-20T23:26:00.110965
af8a1e50-da92-4c3a-ab0c-7a93eaade71f,2025-07-11T14:23:09.110965,RESOLVED,How long for the transfer to finish?,Customer 019,2025-07-14T13:23:09.110965
1ce7ccdd-676d-4472-afbf-9464ab0d1938,2025-07-14T08:37:16.110965,CLOSED,Why is my transaction delayed?,Customer 099,2025-07-16T00:37:16.110965
f8e84794-bace-4112-8002-97e6bb6a9ee0,2025-07-08T08:07:34.110965,OPEN,¿cuándo recibiré mi dinero?,Customer 041,2025-07-09T15:07:34.110965
6c979782-bbee-4b78-9231-1210c75151e3,2025-07-10T04:42:55.110965,WAITING_FOR_CUSTOMER,Expected TAT for my transfer?,Customer 066,2025-07-10T22:42:55.110965
fbbc144d-43eb-4751-9218-be3581073915,2025-07-14T07:27:41.110965,WAITING_FOR_CUSTOMER,pls update me on my payment status.,Customer 095,2025-07-16T07:27:41.110965
a518ca59-581a-4e15-b117-b7d79f7839bd,2025-06-20T18:02:17.110965,OPEN,Can you tell me when my transaction will be completed?,Customer 073,2025-06-21T12:02:17.110965
a7f0431b-476f-4711-8158-439ce55629be,2025-07-16T17:09:20.110965,WAITING_FOR_CUSTOMER,Pourquoi mon paiement est-il en attente?,Customer 008,2025-07-17T07:09:20.110965
fe9297f0-cff5-41bc-b4f3-8b423f30f74c,2025-06-24T18:09:14.110965,RESOLVED,Pourquoi mon paiement est-il en attente?,Customer 018,2025-06-25T03:09:14.110965
47a3b2e6-b0c0-4c3c-a2b3-ccde1b582b3b,2025-06-27T13:48:37.110965,WAITING_FOR_CUSTOMER,What is the status of my paymnt?,Customer 052,2025-06-30T03:48:37.110965
acf37948-c785-49d7-b31c-741d19442491,2025-07-08T08:13:12.110965,CLOSED,pourquoi mon paiement est-il en attente?,Customer 082,2025-07-08T10:13:12.110965
e2cc110e-71cc-4d3e-87d1-bae496c66019,2025-06-28T10:05:44.110965,IN_PROGRESS,I want to chnge my email address.,Customer 062,2025-07-01T01:05:44.110965
33ce95df-1fba-4c09-a57c-e9ac7960eb67,2025-07-10T17:39:43.110965,IN_PROGRESS,I WANT TO CHNGE MY EMAIL ADDRESS.,Customer 074,2025-07-12T04:39:43.110965
496675d6-eba5-420d-adb5-2f7ff007a74f,2025-07-02T09:24:16.110965,OPEN,Wen will my trnsfr be done?,Customer 088,2025-07-04T12:24:16.110965
15f4dfe5-906f-4df5-9750-49c45c724bd9,2025-06-26T21:20:18.110965,REJECTED,"MOJE PLATBA JE ZPOŽDĚNÁ, PROČ?",Customer 100,2025-06-27T00:20:18.110965
c63aa7b5-1991-4d0c-ad3e-52ffd0c7ef64,2025-06-25T03:38:00.110965,RESOLVED,When will I get my money?,Customer 070,2025-06-25T16:38:00.110965
4ad0bb73-87e3-4b04-afdf-28fd37839a8b,2025-07-03T23:56:58.110965,WAITING_FOR_PAYMENT,Pls update me on my paymnt status.,Customer 001,2025-07-06T19:56:58.110965
79ec481f-f788-42ed-aa6e-6473675d8924,2025-07-17T07:58:18.110965,WAITING_FOR_PAYMENT,Can you tell me when my transaction will be completed?,Customer 054,2025-07-17T21:58:18.110965
3a7afd13-9ab1-4778-8474-bc7273fbc9f4,2025-07-14T09:13:49.110965,OPEN,I want to know if my payment is done.,Customer 093,2025-07-16T21:13:49.110965
e46e0625-0a59-4b1f-98c7-8bb2fbab5aa1,2025-06-29T23:29:03.110965,IN_PROGRESS,I need help with my account.,Customer 026,2025-06-30T15:29:03.110965
ff2abe5c-0abd-4288-a60f-b3600090c9de,2025-07-19T05:52:31.110965,IN_PROGRESS,can you tell me when my transaction will be completed?,Customer 016,2025-07-20T04:52:31.110965
ece00b17-2bba-484c-ae70-e64c0de9c7b8,2025-06-22T08:03:05.110965,WAITING_FOR_PAYMENT,¿CUÁNDO RECIBIRÉ MI DINERO?,Customer 033,2025-06-22T08:03:05.110965
9f7e0a35-c33d-4dad-ad73-23377efa786e,2025-06-23T06:29:43.110965,WAITING_FOR_CUSTOMER,"my name is spelled wrong, can you fix?",Customer 071,2025-06-23T13:29:43.110965
96fb14e3-2987-4ab9-9c2c-dc6b0fc00782,2025-06-24T23:29:09.110965,RESOLVED,I want to chnge my email address.,Customer 045,2025-06-26T06:29:09.110965
9f73aa5a-7cd2-4eb5-b861-45a1f7543c2c,2025-07-16T08:10:51.110965,CLOSED,¿Cuándo recibiré mi dinero?,Customer 050,2025-07-18T07:10:51.110965
95198a40-bb19-40d3-a992-288b8c5bbc2b,2025-07-16T15:02:20.110965,CLOSED,expected tat for my transfer? ...?,Customer 054,2025-07-18T22:02:20.110965
f92e52ac-6e6b-4617-9318-ebc11523c4d0,2025-07-16T22:47:26.110965,IN_PROGRESS,Pourquoi mon paiement est-il en attente?,Customer 058,2025-07-18T04:47:26.110965
22a9b8cf-78da-40a5-9fcb-13d2543fbef2,2025-06-29T20:18:22.110965,REJECTED,HOW LONG FOR THE TRANSFER TO FINISH? ...?,Customer 020,2025-07-01T02:18:22.110965
71a5e25f-322d-47a0-973c-2f4d8ea6bdfc,2025-07-05T00:45:50.110965,WAITING_FOR_CUSTOMER,"My name is spelled wrong, can you fix?",Customer 042,2025-07-06T06:45:50.110965
b78f35bb-0336-4d70-8073-56dca774d48c,2025-07-08T04:47:47.110965,IN_PROGRESS,Mein Geld ist nicht angekommen.,Customer 043,2025-07-10T15:47:47.110965
b34eecfa-a721-44fc-a4ce-bf2a763e00c6,2025-07-04T17:00:42.110965,IN_PROGRESS,"My payment is stuck, help!",Customer 071,2025-07-07T03:00:42.110965
b36b7c04-7179-4e75-8575-b8cddad7cb7f,2025-06-23T03:47:34.110965,RESOLVED,I want to chnge my email address.,Customer 007,2025-06-23T18:47:34.110965
91702a9c-6a03-40ba-8d52-a95e63c51dc4,2025-06-21T23:48:02.110965,WAITING_FOR_PAYMENT,Pls update me on my payment status.,Customer 079,2025-06-24T04:48:02.110965
f9c0d7a3-6a4b-40a3-8450-273a0b482cfe,2025-07-07T11:58:10.110965,REJECTED,Wen will my trnsfr be done?,Customer 070,2025-07-10T11:58:10.110965
15a31ea6-3ed3-4f28-83cd-5fe8839fcb0e,2025-07-17T23:55:57.110965,CLOSED,I want to know if my payment is done.,Customer 011,2025-07-19T13:55:57.110965
11dc7f34-e6a0-40a7-b14d-b849c320ead3,2025-07-02T06:16:13.110965,REJECTED,tat for my txn?,Customer 045,2025-07-03T18:16:13.110965
932738c3-fabd-43e1-8ea9-04e45828277d,2025-07-14T20:00:38.110965,WAITING_FOR_PAYMENT,My trnsction is not compltd yet.,Customer 052,2025-07-17T04:00:38.110965
81556982-7207-464c-bdf7-3123a0df6ad3,2025-06-27T05:02:55.110965,WAITING_FOR_PAYMENT,expected tat for my transfer?,Customer 046,2025-06-30T05:02:55.110965
1c7ce98d-0b7d-4c38-bcc6-a3401ec5c469,2025-07-19T05:46:24.110965,RESOLVED,Mein Geld ist nicht angekommen.,Customer 008,2025-07-21T01:46:24.110965
7a3d9f2b-e854-46ce-9b19-9bfb682b2dca,2025-07-10T21:39:42.110965,WAITING_FOR_PAYMENT,¿Cuándo recibiré mi dinero?,Customer 090,2025-07-13T07:39:42.110965
9ef29dc8-b0e9-4c95-b840-058aeed81001,2025-06-20T08:17:57.110965,WAITING_FOR_PAYMENT,MY TRNSCTION IS NOT COMPLTD YET.,Customer 096,2025-06-22T11:17:57.110965
01a39b77-8c4d-4d69-a970-5dee9b69ad05,2025-06-21T13:10:33.110965,OPEN,Pourquoi mon paiement est-il en attente?,Customer 038,2025-06-21T13:10:33.110965
7bbd96ee-3493-41fe-9728-1f7e15212951,2025-06-26T19:38:43.110965,WAITING_FOR_PAYMENT,i want to know if my payment is done.,Customer 040,2025-06-27T14:38:43.110965
c0f8abc6-6447-4c08-b85a-9d996dc07b02,2025-07-04T03:34:10.110965,WAITING_FOR_CUSTOMER,Mein Geld ist nicht angekommen.,Customer 007,2025-07-04T22:34:10.110965
5db6a112-02db-4031-ac84-bd612bdb77b6,2025-07-01T17:24:27.110965,WAITING_FOR_CUSTOMER,mein geld ist nicht angekommen.,Customer 038,2025-07-03T21:24:27.110965
04309068-aaf7-4e2d-bef8-f85aee2de45d,2025-06-22T10:00:28.110965,RESOLVED,Expected TAT for my transfer?,Customer 048,2025-06-24T16:00:28.110965
62be8ce5-de1e-4d66-9af1-e3d8fc09e5bb,2025-06-20T12:27:51.110965,WAITING_FOR_CUSTOMER,I want to chnge my email address.,Customer 064,2025-06-23T10:27:51.110965
3816f73f-f159-4305-b03c-de131f8111ae,2025-07-18T00:05:26.110965,RESOLVED,mein geld ist nicht angekommen.,Customer 068,2025-07-20T02:05:26.110965
6cc61a05-122d-4e53-b8d0-a8de8ded3563,2025-07-10T14:29:49.110965,OPEN,Pls update me on my paymnt status.,Customer 012,2025-07-11T23:29:49.110965
bcb0424a-220b-43ae-bab6-5b5bb81b78cd,2025-07-16T09:15:52.110965,CLOSED,Mein Geld ist nicht angekommen.,Customer 040,2025-07-17T22:15:52.110965
29992269-0a21-4c5c-8309-1367001585dc,2025-07-19T10:54:08.110965,WAITING_FOR_CUSTOMER,¿Cuándo recibiré mi dinero?,Customer 057,2025-07-20T20:54:08.110965
078ad3a0-bc4b-43b6-9d2b-6214faf3ed47,2025-06-24T14:42:52.110965,OPEN,i want to chnge my email address. ...?,Customer 045,2025-06-26T00:42:52.110965
f28125cd-e199-4496-b55e-ccbf8aa2bdfb,2025-07-05T18:03:05.110965,WAITING_FOR_CUSTOMER,What is the status of my paymnt?,Customer 043,2025-07-06T12:03:05.110965
